name,location.formatted_address,geocodes.main.longitude,geocodes.roof.latitude
Symphony Center (Chicago Symphony Orchestra),"220 S Michigan Ave (btwn Adams & Jackson), Chicago, IL 60604",-87.624815,41.878898
The Art Institute of Chicago,"111 S Michigan Ave (btwn Monroe St & Jackson Dr), Chicago, IL 60603",-87.623691,41.879454
Auditorium Theatre,"50 E Ida B Wells Dr (Roosevelt University), Chicago, IL 60605",-87.625374,41.875859
Iwan Ries & Co.,"19 S Wabash Ave (btwn E Madison St & E Monroe St), Chicago, IL 60603",-87.625918,41.881635
Cadillac Palace Theatre,"151 W Randolph St (at LaSalle St), Chicago, IL 60603",-87.632958,41.884275
James M. Nederlander Theatre,"24 W Randolph St (btwn State St & Dearborn St), Chicago, IL 60601",-87.62879,
Cloud Gate,"201 E Randolph St (btwn Randolph St & Monroe Dr), Chicago, IL 60602",-87.623401,41.882621
Grant Park,"337 E Randolph Dr (at Michigan Ave), Chicago, IL 60601",-87.619047,41.875734
Millennium Park,"201 E Randolph St (btwn Columbus Dr & Michigan Ave), Chicago, IL 60601",-87.621997,41.882885
Jay Pritzker Pavilion,"201 E Randolph St (btwn Columbus Dr & Michigan Ave), Chicago, IL 60601",-87.62176,41.883254
